"feature","category"
"116917","broccoli, betel nut leaf, rice, arugula, olive"
"116932","turmeric, grape_fermented, peanut, anise, olive, cardamom, bay leaf, legume, butter, Spenach"
"116953","walnut, pine nut, grape_fermented, lentil, anise, olive, cardamom, bay leaf, Spenach"
"116955","beef, chicken, cheddar cheese"
"116992","cheddar cheese"
"116993","blueberry"
"117009","cheddar cheese"
"117010","grain_fermented"
"117062","bean, cucumber, lavender, curry plant"
"117087","sweet potato, apricot"
"117101","pine nut, turmeric, grape_fermented, peanut, anise, olive, bay leaf, spice, butter, Spenach, pig"
"117107","beef"
"117169","betel nut leaf, walnut, grape_fermented, bay leaf, legume, Tilapia, oregano, lavender"
"117213","Tilapia, cheddar cheese"
"117309","turmeric, pepper, anise, olive, cardamom, bay leaf, ginger"
"117382","betel nut leaf, strawberry, grape_fermented, bay leaf, oregano"
"117391","cucumber"
"117404","walnut, pepper, anise, bay leaf, oregano"
"117496","blueberry, walnut, anise, cranberry, oregano, apricot, radish greens, guava, borage leaf, lemon balm, chive stem, marjoram"
"117503","sage, arugula"
"117553","pear, broccoli, rosemary, pepper, bay leaf, oregano"
"117572","cheddar cheese"
"117595","walnut, bean, lentil, anise, apricot, lavender"
"117624","beef, trout, shrimp"
"117653","walnut, turmeric, grape_fermented, lentil, anise, olive, bay leaf, legume, butter, Spenach, Tilapia"
"117662","tomato"
"117751","arugula, Tilapia"
"117752","beef, grain_fermented"
"117831","beef, squash blossom"
"117864","beef"
"117906","beef"
"117912","pear, betel nut leaf, turmeric, lentil, anise, bay leaf, spice, legume, Spenach, ginger"
"118004","grape_fermented, bean, anise, olive, cardamom, bay leaf, Spenach, ginger, oregano, avocado, lavender, cloves"
"118031","cheddar cheese"
"11807","beef, cheddar cheese"
"118074","blueberry, mango, lettuce, avocado, apricot, lavender"
"118175","milk_goat"
"118246","blueberry"
"118251","bean, peanut, olive, bay leaf, legume, Spenach, oregano, chard"
"118267","fennel"
"118270","pine nut, turmeric, grape_fermented, peanut, lentil, anise, olive, bay leaf, legume, butter, Spenach"
"118338","pea, grape_fermented, bean, anise, bay leaf, oregano"
"118346","cardamom"
"118347","cheddar cheese"
"118375","ginger"
"118379","beef, pea, salmon, langostino, veal"
"118383","milk_cow, yogurt_cow, cheddar cheese"
"11839","mushroom, walnut, grape_fermented, lentil, oat, anise, cardamom, cocoa seed, sesame seed, garlic powder, banana, betel nut"
"118408","cheddar cheese"
"118423","spice"
"118435","pine nut, turmeric, grape_fermented, anise, cardamom"
"118484","turmeric, grape_fermented, peanut, lentil, olive, oregano, avocado"
"118486","cheddar cheese"
"118525","cardamom, lavender"
"118555","rice"
"118576","betel nut leaf, turmeric, grape_fermented, peanut, anise, bay leaf, Spenach, ginger, cocoa seed, garlic powder, poppy seed"
"118579","walnut, bay leaf, oregano, apricot"
"118605","milk_cow, cheddar cheese"
"118619","beef, veal"
"118642","broccoli, grape_fermented, anise, bay leaf, Spenach, oregano, avocado, poppy seed, lavender"
"118669","cilantro, cherry, grape_fermented, bean, cardamom, bay leaf, oregano"
"118741","arugula"
"118754","cardamom"
