#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
10228	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:161574	19677	-1	0	442.317	1	0.893583	385.52	0	2758000.0	19336700.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf10228	-1	500_foods_SPECTRUMID2.mgf	1.03492				10	0	0.000457764	442.316	0	
14386	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:206991	17941	-1	0	427.357	1	0.893362	496.88	0	513700.0	337955000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf14386	-1	500_foods_SPECTRUMID2.mgf	1.49961				14	0	0.000640869	427.357	0	
2284	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:21726	5633	-1	0	318.203	1	0.892932	84.72	0	471200.0	177770000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf2284	-1	500_foods_SPECTRUMID2.mgf	1.24678				11	0	0.000396729	318.202	0	
18364	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:246415	15002	-1	0	112.087	1	0.89257	612.58	0	15600.0	8243300.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf18364	-1	500_foods_SPECTRUMID2.mgf	1.29326				5	0	0.000144958	112.087	0	
11484	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:176478	4843	-1	0	311.221	1	0.892438	425.47	0	302900.0	20043000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf11484	-1	500_foods_SPECTRUMID2.mgf	0.980577				12	0	0.000305176	311.221	0	
13323	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:194900	6995	-1	0	330.227	1	0.892095	468.59	0	1058000.0	198001000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf13323	-1	500_foods_SPECTRUMID2.mgf	0.831725				12	0	0.000274658	330.227	0	
2294	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:24276	5600	-1	0	318.166	1	0.891692	85.02	0	973500.0	193546000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf2294	-1	500_foods_SPECTRUMID2.mgf	0.767337				13	0	0.000244141	318.166	0	
16307	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:237406	43722	-1	0	896.769	1	0.891642	545.98	0	899200.0	39235500.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf16307	-1	500_foods_SPECTRUMID2.mgf	1.08898				11	0	0.000976562	896.77	0	
16478	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:226654	27617	-1	0	531.407	1	0.891329	550.12	0	417400.0	30793800.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf16478	-1	500_foods_SPECTRUMID2.mgf	0.803991				6	0	0.000427246	531.407	0	
60	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:263	28914	-1	0	185.983	1	0.891224	23.61	0	1881000.0	123672000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf60	-1	500_foods_SPECTRUMID2.mgf	0.656351				6	0	0.00012207	185.983	0	
